Date,Open,High,Low,Close,Adj Close,Volume
2022-11-03,18.170000,18.330000,18.070000,18.170000,18.170000,41249400
2022-11-04,18.340000,18.410000,18.090000,18.320000,18.320000,39458700
2022-11-07,18.340000,18.400000,18.150000,18.360001,18.360001,39985200
2022-11-08,18.379999,18.730000,18.299999,18.570000,18.570000,43210400
2022-11-09,18.480000,18.719999,18.379999,18.379999,18.379999,41838400
2022-11-10,18.830000,18.969999,18.580000,18.840000,18.840000,46482700
2022-11-11,18.820000,19.129999,18.780001,19.049999,19.049999,52519500
2022-11-14,19.080000,19.360001,19.040001,19.059999,19.059999,37316500
2022-11-15,19.120001,19.389999,18.809999,19.020000,19.020000,49339300
2022-11-16,19.000000,19.049999,18.780001,18.930000,18.930000,32155400
2022-11-17,18.709999,18.990000,18.520000,18.950001,18.950001,36007800
2022-11-18,19.040001,19.120001,18.920000,18.969999,18.969999,34211300
2022-11-21,18.980000,19.080000,18.760000,18.840000,18.840000,31911400
2022-11-22,18.900000,19.040001,18.889999,19.000000,19.000000,33771000
2022-11-23,18.930000,19.110001,18.889999,19.090000,19.090000,21486000
2022-11-25,19.170000,19.290001,19.070000,19.120001,19.120001,13782700
2022-11-28,19.100000,19.150000,18.770000,18.820000,18.820000,27780200
2022-11-29,18.790001,19.030001,18.750000,19.010000,19.010000,24088000
2022-11-30,18.940001,19.280001,18.799999,19.280001,19.280001,59293400
2022-12-01,19.290001,19.400000,19.090000,19.190001,19.190001,31615500
2022-12-02,19.049999,19.059999,18.860001,19.020000,19.020000,33479600
2022-12-05,18.920000,18.980000,18.690001,18.750000,18.750000,28698000
2022-12-06,18.889999,19.180000,18.809999,19.170000,19.170000,45858100
2022-12-07,19.049999,19.420000,19.000000,19.299999,19.299999,45381000
2022-12-08,19.430000,19.520000,19.020000,19.120001,19.120001,45761100
2022-12-09,19.070000,19.350000,19.030001,19.090000,19.090000,29815600
2022-12-12,19.139999,19.309999,19.070000,19.299999,19.299999,31333500
2022-12-13,19.410000,19.500000,19.070000,19.120001,19.120001,54142100
2022-12-14,19.049999,19.100000,18.760000,18.900000,18.900000,44027700
2022-12-15,18.639999,18.809999,18.360001,18.469999,18.469999,47277400
2022-12-16,18.360001,18.510000,18.219999,18.490000,18.490000,76412500
2022-12-19,18.270000,18.320000,17.639999,17.860001,17.860001,62216900
2022-12-20,17.850000,18.090000,17.830000,18.070000,18.070000,40922700
2022-12-21,18.180000,18.270000,18.070000,18.150000,18.150000,42316200
2022-12-22,18.010000,18.280001,17.920000,18.270000,18.270000,32615000
2022-12-23,18.170000,18.320000,18.100000,18.309999,18.309999,25164100
2022-12-27,18.250000,18.520000,18.219999,18.459999,18.459999,30382500
2022-12-28,18.450001,18.549999,18.190001,18.219999,18.219999,26632300
2022-12-29,18.270000,18.549999,18.240000,18.450001,18.450001,23765900
2022-12-30,18.420000,18.480000,18.219999,18.410000,18.410000,26200800
